Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,13-Apr-18,1162.6,1174,1185.9,1150.25,1168,1171.45,1172.37,10613519,12442924999,180965,5370870,50.6
INFY,EQ,16-Apr-18,1171.45,1102,1140,1102,1134.5,1133.2,1125.66,12372542,13927236193,201992,5012390,40.51
INFY,EQ,17-Apr-18,1133.2,1127,1127.4,1115,1124.65,1125.2,1121.63,5198970,5831317996,203792,3086531,59.37
INFY,EQ,18-Apr-18,1125.2,1122.85,1134.75,1113.85,1125.95,1125.95,1124.27,5215190,5863305787,121114,3220905,61.76
INFY,EQ,19-Apr-18,1125.95,1124,1139.8,1123.1,1133.4,1132.85,1132.61,4262771,4828035904,119470,3277709,76.89
INFY,EQ,20-Apr-18,1132.85,1139,1193.7,1136.95,1179.65,1178.45,1171.78,12136346,14221070742,213680,7374221,60.76
INFY,EQ,23-Apr-18,1178.45,1168,1214.4,1155.25,1185.95,1187.7,1186.79,10915319,12954180381,190031,5762099,52.79
INFY,EQ,24-Apr-18,1187.7,1185,1196.4,1150.1,1154.25,1154.5,1168.64,4263108,4982039811,87918,2175530,51.03
INFY,EQ,25-Apr-18,1154.5,1152,1171,1145.2,1155.95,1160.35,1160.85,5797089,6729546265,122892,3549969,61.24
INFY,EQ,26-Apr-18,1160.35,1174,1181.65,1160,1177.05,1176.45,1172.76,5651042,6627322945,120489,3710955,65.67
INFY,EQ,27-Apr-18,1176.45,1180,1191.6,1174.2,1184.65,1185.2,1183.9,3831685,4536321753,103259,2521063,65.8
INFY,EQ,30-Apr-18,1185.2,1181.7,1207.95,1180.65,1199.95,1199.5,1199.78,2755839,3306404000,80599,1748528,63.45
INFY,EQ,02-May-18,1199.5,1198.9,1201.6,1181,1192.1,1197.05,1192.72,5147521,6139572653,98610,3916029,76.08
INFY,EQ,03-May-18,1197.05,1197.25,1204.7,1176.1,1178,1182.55,1195.66,2666115,3187761546,114003,1634945,61.32
INFY,EQ,04-May-18,1182.55,1185,1186,1155,1169.6,1173.1,1165.5,3011684,3510129249,92619,1501133,49.84
INFY,EQ,07-May-18,1173.1,1181.25,1190,1175.5,1184,1183,1181.67,2319480,2740857605,66189,1381557,59.56
INFY,EQ,08-May-18,1183,1177.9,1177.9,1161.05,1167.5,1165.55,1167.51,2859278,3338246179,121067,1833756,64.13
INFY,EQ,09-May-18,1165.55,1167.5,1176.9,1163,1172,1170.7,1169.95,1891752,2213260047,50914,1226653,64.84
INFY,EQ,10-May-18,1170.7,1176,1183,1162.85,1170,1168,1173.06,1591431,1866843840,55801,925580,58.16
INFY,EQ,11-May-18,1168,1172.3,1183.2,1166.05,1180.6,1180.75,1174.3,1655853,1944465077,51911,1040917,62.86
INFY,EQ,14-May-18,1180.75,1184.35,1191.5,1170,1190.5,1189.3,1184.18,2216047,2624191631,118716,1385502,62.52
INFY,EQ,15-May-18,1189.3,1188.1,1208,1188.1,1195.2,1194.55,1196.6,2805987,3357654925,169798,1400617,49.92
INFY,EQ,16-May-18,1194.55,1187.25,1198,1184.5,1190.7,1189.95,1191.85,3102502,3697718120,80951,2232738,71.97
INFY,EQ,17-May-18,1189.95,1196,1197.45,1173.55,1180,1182.9,1186.19,4759799,5646033906,108694,3495536,73.44
INFY,EQ,18-May-18,1182.9,1183,1186.55,1173,1180,1183.2,1181.08,3569830,4216242217,118691,2739080,76.73
INFY,EQ,21-May-18,1183.2,1179.55,1188.4,1170,1183.2,1179.5,1182.21,4237660,5009804970,94593,3233546,76.3
INFY,EQ,22-May-18,1179.5,1175,1198,1173.9,1195,1193.85,1189.56,2818402,3352664150,92075,1959648,69.53
INFY,EQ,23-May-18,1193.85,1195,1207.65,1181.5,1182.95,1184.9,1198.4,4769221,5715433184,155510,3565469,74.76
INFY,EQ,24-May-18,1184.9,1198,1227.55,1198,1220,1221,1217.23,4870285,5928236190,115622,2635888,54.12
INFY,EQ,25-May-18,1221,1230.1,1248.65,1220.8,1229.55,1228.3,1239.09,4450719,5514861308,165203,2833196,63.66
INFY,EQ,28-May-18,1228.3,1231,1232.6,1206,1212.1,1214.4,1218.07,2869897,3495734649,114363,1860121,64.81
INFY,EQ,29-May-18,1214.4,1214.05,1226.55,1206.2,1219.9,1216.7,1214.01,1694467,2057107218,97963,1020909,60.25
INFY,EQ,30-May-18,1216.7,1217,1228.75,1205.6,1210.4,1211.7,1214.64,3161533,3840109182,113600,1820341,57.58
INFY,EQ,31-May-18,1211.7,1211.7,1242,1210.25,1238,1231.8,1230.2,9860170,12129968289,163732,6917924,70.16
INFY,EQ,01-Jun-18,1231.8,1230.4,1246.25,1217.2,1222.2,1220.8,1229.79,2499178,3073466731,81969,1396541,55.88
INFY,EQ,04-Jun-18,1220.8,1221.1,1243,1212,1241,1239.4,1233.14,2135078,2632848474,69180,1356014,63.51
INFY,EQ,05-Jun-18,1239.4,1242,1242,1217,1218.85,1220.85,1226.49,2355431,2888924172,85171,1469405,62.38
INFY,EQ,06-Jun-18,1220.85,1225.2,1241.55,1220.05,1238.1,1237.45,1234.18,2019092,2491929870,98002,1157667,57.34
INFY,EQ,07-Jun-18,1237.45,1238,1258,1238,1249.3,1252.45,1252.57,3338113,4181210252,106204,1876344,56.21
INFY,EQ,08-Jun-18,1252.45,1248,1262,1246.05,1258.8,1260.05,1257.48,3229939,4061574692,146437,2152796,66.65
INFY,EQ,11-Jun-18,1260.05,1265.55,1270,1255.05,1261,1262.4,1262.71,2585645,3264923421,94087,1883057,72.83
INFY,EQ,12-Jun-18,1262.4,1265.75,1271.25,1250.45,1259,1258.5,1258.01,3919910,4931300156,90357,2684852,68.49
INFY,EQ,13-Jun-18,1258.5,1266.8,1284,1266.8,1275,1274.8,1275.2,2883464,3676982074,110178,1736971,60.24
INFY,EQ,14-Jun-18,1274.8,1253,1253,1234.1,1240,1239.7,1242.78,3799424,4721843711,142371,2234217,58.8
INFY,EQ,15-Jun-18,1239.7,1237,1291.5,1235,1288.8,1281.25,1267.1,9978880,12644285284,156513,7198132,72.13
INFY,EQ,18-Jun-18,1281.25,1284,1291.25,1262.35,1264.5,1267.4,1273.18,4107423,5229499471,127326,2705510,65.87
INFY,EQ,19-Jun-18,1267.4,1263,1263.4,1238.05,1242,1241.6,1244.36,3772850,4694786854,148052,2625680,69.59
INFY,EQ,20-Jun-18,1241.6,1248.5,1252.35,1238,1241.45,1243.15,1245.07,2685901,3344140004,92693,1763850,65.67
INFY,EQ,21-Jun-18,1243.15,1245.95,1256.5,1236,1246.55,1246.55,1247.63,2899395,3617383651,138481,1939037,66.88
INFY,EQ,22-Jun-18,1246.55,1243,1255.5,1241.2,1246.4,1247.85,1249.94,2171559,2714312670,91644,1545127,71.15
INFY,EQ,25-Jun-18,1247.85,1257.15,1278.8,1254,1269.7,1272.45,1271.05,3865589,4913363830,137153,2105988,54.48
INFY,EQ,26-Jun-18,1272.45,1269,1283.9,1266.25,1280.05,1277.85,1277.24,2241752,2863258907,102746,1303651,58.15
INFY,EQ,27-Jun-18,1277.85,1283.95,1293.45,1265.6,1271.5,1270,1281.92,3476071,4456049393,107138,2254625,64.86
INFY,EQ,28-Jun-18,1270,1276.3,1298,1276.25,1284.3,1289.6,1290.08,5498409,7093380059,159341,2847254,51.78
INFY,EQ,29-Jun-18,1289.6,1298.05,1315,1283.25,1310.65,1307.2,1298.31,4983300,6469891050,164216,3050563,61.22
INFY,EQ,02-Jul-18,1307.2,1314,1340,1314,1337.8,1334.7,1325.09,2415072,3200195814,80512,1157363,47.92
INFY,EQ,03-Jul-18,1334.7,1331.9,1357.9,1331.75,1355.5,1353.75,1347.06,4063726,5474101849,140810,2374717,58.44
INFY,EQ,04-Jul-18,1353.75,1352.05,1352.65,1338.85,1348.4,1345.2,1345.49,2512861,3381023805,156409,1610582,64.09
INFY,EQ,05-Jul-18,1345.2,1347.1,1347.25,1268.1,1286.5,1284,1290.51,8509951,10982144289,274864,4498851,52.87
INFY,EQ,06-Jul-18,1284,1290.25,1301.85,1269,1285.15,1284.25,1281.04,5607678,7183683022,181138,3185846,56.81
INFY,EQ,09-Jul-18,1284.25,1297,1303,1279.05,1301.2,1298.85,1294.01,3322499,4299340435,95341,1941581,58.44
INFY,EQ,10-Jul-18,1298.85,1308.5,1315.45,1294.3,1299.1,1301.4,1305.09,2987244,3898613178,109336,1551472,51.94
INFY,EQ,11-Jul-18,1301.4,1317.55,1342.1,1291.35,1319,1320.45,1317.22,5949916,7837362262,131426,2520702,42.37
INFY,EQ,12-Jul-18,1320.45,1326.1,1327.1,1284.45,1295,1294.35,1299.24,6636120,8621906526,189258,3884375,58.53
